"Puesto","2012","2013","2014","2015"
1,"Gimnasio Yumana Neiva NA","COLOMBUS AMERICAN SCHOOL Rivera NA","COLEGIO COLOMBO INGLES DEL HUILA Neiva NA","COLOMBO AMERICAN SCHOOL Rivera No Oficial"
2,"Colombo Ingles del Huila Neiva NA","ASPAEN GIMNASIO LA FRAGUA Neiva NA","COLOMBUS AMERICAN SCHOOL Rivera NA","COLEGIO COLOMBO INGLES DEL HUILA Y CIA LTDA Neiva No Oficial"
3,"Colegio Cooperativo Salesiano San Medardo Neiva NA","COLEGIO COLOMBO INGLES DEL HUILA Neiva NA","ASPAEN GIMNASIO LA FRAGUA Neiva NA","ASPAEN GIMNASIO LA FRAGUA Neiva No Oficial"
4,"Colegio La Presentación Neiva NA","ASPAEN GIMNASIO YUMANA Neiva NA","ASPAEN GIMNASIO YUMANA Neiva NA","ASPAEN GIMNASIO YUMANA Neiva No Oficial"
5,"Maria Auxiliadora Neiva NA","COLEGIO EMPRESARIAL  DE LOS ANDES Neiva NA","COLEGIO ANGLOCANADIENSE DE NEIVA Neiva NA","COLEGIO CLARETIANO Neiva No Oficial"
6,"Rafael Pombo Neiva NA","COLEGIO COOPERATIVO SALESIANO SAN MEDARDO Neiva NA","COLEGIO SALESIANO SAN MEDARDO Neiva NA","COL DE LA PRESENTACION Neiva No Oficial"
7,"Santa Clara de Hungria Neiva NA","COLEGIO CLARETIANO Neiva NA","COLEGIO MARIA AUXILIADORA Neiva NA","COLEGIO SALESIANO SAN MEDARDO Neiva No Oficial"
8,"Gimnasio La Fragua Neiva NA","COLEGIO ANGLOCANADIENSE DE NEIVA Neiva NA","COLEGIO CLARETIANO Neiva NA","COL  ANGLOCANADIENSE DE NEIVA Neiva No Oficial"
9,"Instituto de excelencia Humana y Academica IDEHA Neiva NA","COLEGIO DE LA PRESENTACION Neiva NA","COLEGIO DE LA PRESENTACION Neiva NA","COLEGIO MARIA AUXILIADORA ALTICO Neiva No Oficial"
10,"Colegio Nacional de Bachillerato Neiva NA","COLEGIO MARIA AUXILIADORA Neiva NA","INSTITUTO HUILENSE JOSE MARTI Neiva NA","INSTITUTO DE FORMACIÓN SCOUT JOSÉ JULIÁN MARTÍ (ANTES INSTITUTO HUILENSE JOSÉ MARTÍ) Neiva No Oficial"
11,"Colegio Cooperativo Campestre Neiva NA","COLEGIO COOPERATIVO LA PRESENTACION Garzón NA","COLEGIO COOPERATIVO LA PRESENTACION Garzón NA","COL RAFAEL POMBO  Neiva No Oficial"
12,"Colegio Cooperativo Sagrado Corazón de Jesús San Agustín NA","INSTITUCION EDUCATIVA NACIONAL Pitalito NA","COOPERATIVO SAN AGUSTIN San Agustín NA","COL COOP SAN AGUSTIN San Agustín No Oficial"
13,"Colegio Claretiano (Tarde) Neiva NA","COLEGIO SANTA CLARA DE HUNGRIA Neiva NA","COLEGIO RAFAEL  POMBO Neiva NA","COL PRESENTACION Pitalito No Oficial"
14,"Colegio Claretiano (Mañana) Neiva NA","INSTITUTO DE EXCELENCIA HUMANA Y ACADEMICA IDEHA Neiva NA","COLEGIO EMPRESARIAL  DE LOS ANDES Neiva NA","COL EMPRESARIAL DE LOS ANDES Neiva No Oficial"
