"Municipio","Ano","Rango","Poblacion"
"Acevedo",2015,"Población en edad escolar 5 años",782
"Agrado",2015,"Población en edad escolar 5 años",203
"Aipe",2015,"Población en edad escolar 5 años",561
"Algeciras",2015,"Población en edad escolar 5 años",509
"Altamira",2015,"Población en edad escolar 5 años",92
"Baraya",2015,"Población en edad escolar 5 años",191
"Campoalegre",2015,"Población en edad escolar 5 años",639
"Colombia",2015,"Población en edad escolar 5 años",246
"Elias",2015,"Población en edad escolar 5 años",92
"Garzón",2015,"Población en edad escolar 5 años",1925
"Gigante",2015,"Población en edad escolar 5 años",702
"Guadalupe",2015,"Población en edad escolar 5 años",481
"Hobo",2015,"Población en edad escolar 5 años",139
"Iquira",2015,"Población en edad escolar 5 años",245
"Isnos",2015,"Población en edad escolar 5 años",558
"La Argentina",2015,"Población en edad escolar 5 años",321
"La Plata",2015,"Población en edad escolar 5 años",1381
"Nátaga",2015,"Población en edad escolar 5 años",138
"Neiva",2015,"Población en edad escolar 5 años",5385
"Oporapa",2015,"Población en edad escolar 5 años",349
"Paicol",2015,"Población en edad escolar 5 años",120
"Palermo",2015,"Población en edad escolar 5 años",623
"Palestina",2015,"Población en edad escolar 5 años",246
"Pital",2015,"Población en edad escolar 5 años",287
"Pitalito",2015,"Población en edad escolar 5 años",2536
"Rivera",2015,"Población en edad escolar 5 años",350
"Saladoblanco",2015,"Población en edad escolar 5 años",274
"San Agustín",2015,"Población en edad escolar 5 años",632
"Santa Maria",2015,"Población en edad escolar 5 años",241
"Suaza",2015,"Población en edad escolar 5 años",425
"Tarqui",2015,"Población en edad escolar 5 años",406
"Tello",2015,"Población en edad escolar 5 años",331
"Teruel",2015,"Población en edad escolar 5 años",176
"Tesalia",2015,"Población en edad escolar 5 años",185
"Timaná",2015,"Población en edad escolar 5 años",419
"Villavieja",2015,"Población en edad escolar 5 años",156
"Yaguará",2015,"Población en edad escolar 5 años",148
"Acevedo",2015,"Población en edad escolar 6 – 10 años",3810
"Agrado",2015,"Población en edad escolar 6 – 10 años",990
"Aipe",2015,"Población en edad escolar 6 – 10 años",2788
"Algeciras",2015,"Población en edad escolar 6 – 10 años",2490
"Altamira",2015,"Población en edad escolar 6 – 10 años",452
"Baraya",2015,"Población en edad escolar 6 – 10 años",926
"Campoalegre",2015,"Población en edad escolar 6 – 10 años",3225
"Colombia",2015,"Población en edad escolar 6 – 10 años",1199
"Elias",2015,"Población en edad escolar 6 – 10 años",451
"Garzón",2015,"Población en edad escolar 6 – 10 años",9372
"Gigante",2015,"Población en edad escolar 6 – 10 años",3472
"Guadalupe",2015,"Población en edad escolar 6 – 10 años",2335
"Hobo",2015,"Población en edad escolar 6 – 10 años",691
"Iquira",2015,"Población en edad escolar 6 – 10 años",1186
"Isnos",2015,"Población en edad escolar 6 – 10 años",2719
"La Argentina",2015,"Población en edad escolar 6 – 10 años",1535
"La Plata",2015,"Población en edad escolar 6 – 10 años",6793
"Nátaga",2015,"Población en edad escolar 6 – 10 años",663
"Neiva",2015,"Población en edad escolar 6 – 10 años",27854
"Oporapa",2015,"Población en edad escolar 6 – 10 años",1701
"Paicol",2015,"Población en edad escolar 6 – 10 años",578
"Palermo",2015,"Población en edad escolar 6 – 10 años",3139
"Palestina",2015,"Población en edad escolar 6 – 10 años",1200
"Pital",2015,"Población en edad escolar 6 – 10 años",1350
"Pitalito",2015,"Población en edad escolar 6 – 10 años",12655
"Rivera",2015,"Población en edad escolar 6 – 10 años",1730
"Saladoblanco",2015,"Población en edad escolar 6 – 10 años",1321
"San Agustín",2015,"Población en edad escolar 6 – 10 años",3111
"Santa Maria",2015,"Población en edad escolar 6 – 10 años",1189
"Suaza",2015,"Población en edad escolar 6 – 10 años",2061
"Tarqui",2015,"Población en edad escolar 6 – 10 años",1991
"Tello",2015,"Población en edad escolar 6 – 10 años",1604
"Teruel",2015,"Población en edad escolar 6 – 10 años",879
"Tesalia",2015,"Población en edad escolar 6 – 10 años",914
"Timaná",2015,"Población en edad escolar 6 – 10 años",2089
"Villavieja",2015,"Población en edad escolar 6 – 10 años",778
"Yaguará",2015,"Población en edad escolar 6 – 10 años",741
"Acevedo",2015,"Población en edad escolar 11- 16 años",4456
"Agrado",2015,"Población en edad escolar 11- 16 años",1145
"Aipe",2015,"Población en edad escolar 11- 16 años",3202
"Algeciras",2015,"Población en edad escolar 11- 16 años",2810
"Altamira",2015,"Población en edad escolar 11- 16 años",547
"Baraya",2015,"Población en edad escolar 11- 16 años",1113
"Campoalegre",2015,"Población en edad escolar 11- 16 años",3888
"Colombia",2015,"Población en edad escolar 11- 16 años",1433
"Elias",2015,"Población en edad escolar 11- 16 años",514
"Garzón",2015,"Población en edad escolar 11- 16 años",11231
"Gigante",2015,"Población en edad escolar 11- 16 años",3968
"Guadalupe",2015,"Población en edad escolar 11- 16 años",2665
"Hobo",2015,"Población en edad escolar 11- 16 años",796
"Iquira",2015,"Población en edad escolar 11- 16 años",1406
"Isnos",2015,"Población en edad escolar 11- 16 años",3301
"La Argentina",2015,"Población en edad escolar 11- 16 años",1780
"La Plata",2015,"Población en edad escolar 11- 16 años",8058
"Nátaga",2015,"Población en edad escolar 11- 16 años",794
"Neiva",2015,"Población en edad escolar 11- 16 años",35347
"Oporapa",2015,"Población en edad escolar 11- 16 años",1984
"Paicol",2015,"Población en edad escolar 11- 16 años",696
"Palermo",2015,"Población en edad escolar 11- 16 años",3734
"Palestina",2015,"Población en edad escolar 11- 16 años",1437
"Pital",2015,"Población en edad escolar 11- 16 años",1573
"Pitalito",2015,"Población en edad escolar 11- 16 años",15402
"Rivera",2015,"Población en edad escolar 11- 16 años",1995
"Saladoblanco",2015,"Población en edad escolar 11- 16 años",1513
"San Agustín",2015,"Población en edad escolar 11- 16 años",3772
"Santa Maria",2015,"Población en edad escolar 11- 16 años",1382
"Suaza",2015,"Población en edad escolar 11- 16 años",2356
"Tarqui",2015,"Población en edad escolar 11- 16 años",2271
"Tello",2015,"Población en edad escolar 11- 16 años",1836
"Teruel",2015,"Población en edad escolar 11- 16 años",1038
"Tesalia",2015,"Población en edad escolar 11- 16 años",1069
"Timaná",2015,"Población en edad escolar 11- 16 años",2520
"Villavieja",2015,"Población en edad escolar 11- 16 años",889
"Yaguará",2015,"Población en edad escolar 11- 16 años",926
"Acevedo",2014,"Población en edad escolar 5 años",767
"Agrado",2014,"Población en edad escolar 5 años",202
"Aipe",2014,"Población en edad escolar 5 años",562
"Algeciras",2014,"Población en edad escolar 5 años",519
"Altamira",2014,"Población en edad escolar 5 años",90
"Baraya",2014,"Población en edad escolar 5 años",190
"Campoalegre",2014,"Población en edad escolar 5 años",645
"Colombia",2014,"Población en edad escolar 5 años",241
"Elias",2014,"Población en edad escolar 5 años",93
"Garzón",2014,"Población en edad escolar 5 años",1878
