"Municipio","Ano","Tipo Institucion","N_Aprobados","N_Reprobados","N_Desertores","N_Traslados","P_Aprobados","P_Reprobados","P_Desertores","P_Traslados"
"Acevedo",2014,"Oficial",7725,0,69,,100,0,,
"Agrado",2014,"Oficial",2114,0,17,,100,0,,
"Aipe",2014,"Oficial",3881,18,179,,99.5383431649,0.4616568351,,
"Algeciras",2014,"Oficial",5087,20,130,,99.608380654,0.391619346,,
"Altamira",2014,"Oficial",792,0,2,,100,0,,
"Baraya",2014,"Oficial",1527,4,62,,99.7387328543,0.2612671457,,
"Campoalegre",2014,"Oficial",6084,6,53,,99.9014778325,0.0985221675,,
"Colombia",2014,"Oficial",1528,0,28,,100,0,,
"Elias",2014,"Oficial",770,0,36,,100,0,,
"Garzón",2014,"Oficial",15601,0,274,,100,0,,
"Gigante",2014,"Oficial",6389,1,175,,99.9843505477,0.0156494523,,
"Guadalupe",2014,"Oficial",4793,1,79,,99.9791405924,0.0208594076,,
"Hobo",2014,"Oficial",1677,0,44,,100,0,,
"Iquira",2014,"Oficial",2569,0,120,,100,0,,
"Isnos",2014,"Oficial",5888,10,147,,99.8304510003,0.1695489997,,
"La Argentina",2014,"Oficial",3396,0,103,,100,0,,
"La Plata",2014,"Oficial",14396,10,108,,99.9305844787,0.0694155213,,
"Nátaga",2014,"Oficial",1584,0,33,,100,0,,
"Neiva",2014,"Oficial",58142,168,1510,,99.7118847539,0.2881152461,,
"Oporapa",2014,"Oficial",2640,0,103,,100,0,,
"Paicol",2014,"Oficial",1456,1,40,,99.9313658202,0.0686341798,,
"Palermo",2014,"Oficial",5041,28,106,,99.4476228053,0.5523771947,,
"Palestina",2014,"Oficial",2912,0,77,,100,0,,
"Pital",2014,"Oficial",3028,0,37,,100,0,,
"Pitalito",2014,"Oficial",22588,4353,1617,,83.8424705839,16.1575294161,,
"Rivera",2014,"Oficial",4601,0,1,,100,0,,
"Saladoblanco",2014,"Oficial",2837,0,191,,100,0,,
"San Agustín",2014,"Oficial",6928,4,130,,99.9422965955,0.0577034045,,
"Santa Maria",2014,"Oficial",2357,5,154,,99.7883149873,0.2116850127,,
"Suaza",2014,"Oficial",4718,5,32,,99.8941350836,0.1058649164,,
"Tarqui",2014,"Oficial",4490,6,212,,99.8665480427,0.1334519573,,
"Tello",2014,"Oficial",2678,2,33,,99.9253731343,0.0746268657,,
"Teruel",2014,"Oficial",1650,0,39,,100,0,,
"Tesalia",2014,"Oficial",2396,1,6,,99.9582811848,0.0417188152,,
"Timaná",2014,"Oficial",4452,1,87,,99.9775432293,0.0224567707,,
"Villavieja",2014,"Oficial",1353,0,7,,100,0,,
"Yaguará",2014,"Oficial",1522,0,32,,100,0,,
"Acevedo",2013,"Oficial",7230,0,73,,100,0,,
"Agrado",2013,"Oficial",1966,4,19,,99.7969543147,0.2030456853,,
"Aipe",2013,"Oficial",3499,130,184,,96.4177459355,3.5822540645,,
"Algeciras",2013,"Oficial",4386,509,127,,89.6016343207,10.3983656793,,
"Altamira",2013,"Oficial",744,26,3,,96.6233766234,3.3766233766,,
"Baraya",2013,"Oficial",1373,136,65,,90.9874088801,9.0125911199,,
"Campoalegre",2013,"Oficial",5585,449,96,,92.5588332781,7.4411667219,,
"Colombia",2013,"Oficial",1451,16,38,,98.9093387866,1.0906612134,,
"Elias",2013,"Oficial",812,22,33,,97.3621103118,2.6378896882,,
"Garzón",2013,"Oficial",13530,880,358,,93.893129771,6.106870229,,
"Gigante",2013,"Oficial",6105,118,180,,98.1038084525,1.8961915475,,
"Guadalupe",2013,"Oficial",4050,136,64,,96.7510750119,3.2489249881,,
"Hobo",2013,"Oficial",1488,0,58,,100,0,,
"Iquira",2013,"Oficial",2178,126,156,,94.53125,5.46875,,
"Isnos",2013,"Oficial",5543,45,241,,99.1947029349,0.8052970651,,
"La Argentina",2013,"Oficial",3193,29,82,,99.0999379268,0.9000620732,,
"La Plata",2013,"Oficial",13358,322,200,,97.6461988304,2.3538011696,,
"Nátaga",2013,"Oficial",1479,113,22,,92.9020100503,7.0979899497,,
"Neiva",2013,"Oficial",,,,,,,,
"Oporapa",2013,"Oficial",2515,161,118,,93.9835575486,6.0164424514,,
"Paicol",2013,"Oficial",1384,0,6,,100,0,,
"Palermo",2013,"Oficial",4932,277,54,,94.6822806681,5.3177193319,,
"Palestina",2013,"Oficial",2476,105,59,,95.9318093762,4.0681906238,,
"Pital",2013,"Oficial",3090,0,42,,100,0,,
"Pitalito",2013,"Oficial",,,,,,,,
"Rivera",2013,"Oficial",4201,27,11,,99.3614001892,0.6385998108,,
"Saladoblanco",2013,"Oficial",2479,196,94,,92.6728971963,7.3271028037,,
"San Agustín",2013,"Oficial",6443,35,128,,99.459709787,0.540290213,,
"Santa Maria",2013,"Oficial",2263,106,111,,95.5255382018,4.4744617982,,
"Suaza",2013,"Oficial",4011,135,34,,96.7438494935,3.2561505065,,
"Tarqui",2013,"Oficial",4169,120,136,,97.2021450221,2.7978549779,,
"Tello",2013,"Oficial",2572,91,62,,96.5828013519,3.4171986481,,
"Teruel",2013,"Oficial",1556,88,47,,94.6472019465,5.3527980535,,
"Tesalia",2013,"Oficial",2268,93,38,,96.0609911055,3.9390088945,,
"Timaná",2013,"Oficial",3997,384,113,,91.2348778818,8.7651221182,,
"Villavieja",2013,"Oficial",1159,78,17,,93.6944219887,6.3055780113,,
"Yaguará",2013,"Oficial",1380,155,40,,89.9022801303,10.0977198697,,
"Acevedo",2012,"Oficial",,,,,98.2,1.8,1.8,
"Agrado",2012,"Oficial",,,,,99,1,2.6,
"Aipe",2012,"Oficial",,,,,92.8,7.2,8.9,
"Algeciras",2012,"Oficial",,,,,93.6,6.4,5.7,
"Altamira",2012,"Oficial",,,,,95,5,0.5,
"Baraya",2012,"Oficial",,,,,98,2,3.2,
"Campoalegre",2012,"Oficial",,,,,98.3,1.7,1.8,
"Colombia",2012,"Oficial",,,,,96,4,6.8,
"Elias",2012,"Oficial",,,,,100,0,6.4,
"Garzón",2012,"Oficial",,,,,97.2,2.8,4.9,
"Gigante",2012,"Oficial",,,,,98.1,1.9,2.7,
"Guadalupe",2012,"Oficial",,,,,96.5,3.5,1.5,
"Hobo",2012,"Oficial",,,,,90.6,9.4,6.5,
"Iquira",2012,"Oficial",,,,,94,6,6.5,
"Isnos",2012,"Oficial",,,,,99,1,8.9,
"La Argentina",2012,"Oficial",,,,,92.6,7.4,4.3,
"La Plata",2012,"Oficial",,,,,97,3,3.4,
"Nátaga",2012,"Oficial",,,,,98.3,1.7,7,
"Neiva",2012,"Oficial",,,,,87.7,12.3,6.9,
"Oporapa",2012,"Oficial",,,,,97.6,2.4,3.1,
"Paicol",2012,"Oficial",,,,,87.8,12.2,2.2,
"Palermo",2012,"Oficial",,,,,91.5,8.5,1.4,
"Palestina",2012,"Oficial",,,,,100,0,3.6,
"Pital",2012,"Oficial",,,,,98,2,3.6,
"Pitalito",2012,"Oficial",,,,,89.7,10.3,5.6,
"Rivera",2012,"Oficial",,,,,95.8,4.2,2,
"Saladoblanco",2012,"Oficial",,,,,100,0,7.5,
"San Agustín",2012,"Oficial",,,,,98.8,1.2,0.6,
"Santa Maria",2012,"Oficial",,,,,92.8,7.2,7.1,
"Suaza",2012,"Oficial",,,,,98.2,1.8,3.5,
"Tarqui",2012,"Oficial",,,,,96.5,3.5,6.4,
