"Municipio","No Oficial_2008","Oficial_2007","Oficial_2008","Oficial_2009","Oficial_2010","Oficial_2011","Oficial_2012","Oficial_2013","Oficial_2014"
"Acevedo","94.8051948052","97.2","97.4413998019","97.2","96.9","98.2","98.2","100","100"
"Agrado","NA","95.5","95.7400087835","95.5","89.2","99","99","99.7969543147","100"
"Aipe","NA","96.4","95.0532247965","96.4","89.3","92.8","92.8","96.4177459355","99.5383431649"
"Algeciras","98.5074626866","97.5","96.9052224371","97.5","93.4","93.6","93.6","89.6016343207","99.608380654"
"Altamira","NA","95.6","96.8058968059","95.6","83.1","95","95","96.6233766234","100"
"Baraya","NA","94.8","96.9515514426","94.8","91.3","98","98","90.9874088801","99.7387328543"
"Campoalegre","96.6966966967","95.9","95.4052882531","95.9","89.5","98.3","98.3","92.5588332781","99.9014778325"
"Colombia","NA","96.6","97.2283813747","96.6","90.5","96","96","98.9093387866","100"
"Elias","NA","97","96.6239813737","97","94.9","100","100","97.3621103118","100"
"Garzón","98.8731014209","96.4","97.3276742907","96.4","90","97.2","97.2","93.893129771","100"
"Gigante","98","95","96.557076337","95","95.4","98.1","98.1","98.1038084525","99.9843505477"
"Guadalupe","95.6989247312","97.4","96.7093235832","97.4","94.8","96.5","96.5","96.7510750119","99.9791405924"
"Hobo","NA","92.2","95.7614942529","92.2","94","90.6","90.6","100","100"
"Iquira","NA","95.8","96.062052506","95.8","87.6","94","94","94.53125","100"
"Isnos","99.1354466859","98.2","97.5901398087","98.2","93.3","99","99","99.1947029349","99.8304510003"
"La Argentina","NA","96.4","97.4343675418","96.4","90.7","92.6","92.6","99.0999379268","100"
"La Plata","99.4444444444","97.1","96.7290790982","97.1","94.4","97","97","97.6461988304","99.9305844787"
"Neiva","0","NA","NA","NA","NA","87.7","87.7","NA","99.7118847539"
"Nátaga","NA","97.5","96.134347275","97.5","92.8","98.3","98.3","92.9020100503","100"
"Oporapa","NA","97.1","97.8284086864","97.1","96.1","97.6","97.6","93.9835575486","100"
"Paicol","NA","89.9","93.2363636364","89.9","88.5","87.8","87.8","100","99.9313658202"
"Palermo","95.7446808511","95","95.1731562893","95","87.5","91.5","91.5","94.6822806681","99.4476228053"
"Palestina","NA","99.5","99.3843786072","99.5","99.7","100","100","95.9318093762","100"
"Pital","98.0952380952","98","98.344988345","98","90.2","98","98","100","100"
"Pitalito","97.7680737506","94.7","96.4524021352","94.7","94.68","89.7","89.7","NA","83.8424705839"
"Rivera","97.6421636616","95.4","95.4113557358","95.4","90.3","95.8","95.8","99.3614001892","100"
"Saladoblanco","NA","94.5","95.8485069192","94.5","94.6","100","100","92.6728971963","100"
"San Agustín","94.8849104859","97.8","98.4774592601","97.8","96.4","98.8","98.8","99.459709787","99.9422965955"
"Santa Maria","NA","98.2","98.3251633987","98.2","93.5","92.8","92.8","95.5255382018","99.7883149873"
"Suaza","92.3529411765","96.4","96.5687426557","96.4","94","98.2","98.2","96.7438494935","99.8941350836"
"Tarqui","100","96.5","98.4548966144","96.5","94","96.5","96.5","97.2021450221","99.8665480427"
"Tello","NA","96.5","97.348852247","96.5","91.9","96.3","96.3","96.5828013519","99.9253731343"
"Teruel","NA","95.7","95.9976798144","95.7","90.1","89.9","89.9","94.6472019465","100"
"Tesalia","NA","95.8","97.269134028","95.8","91.4","91.4","91.4","96.0609911055","99.9582811848"
"Timaná","99.4047619048","97.8","95.5721084213","97.8","93.2","94.3","94.3","91.2348778818","99.9775432293"
"Villavieja","NA","95.6","95.0678175092","95.6","84.3","96","96","93.6944219887","100"
"Yaguará","97.9166666667","95.7","95.4598370198","95.7","89.8","82.5","82.5","89.9022801303","100"
