"Municipio","2007","2008","2009","2010","2011","2012","2013","2014"
"Acevedo",97.2,96.1,97.2,96.9,98.2,98.2,100,100
"Agrado",95.5,95.7,95.5,89.2,99,99,99.8,100
"Aipe",96.4,95.1,96.4,89.3,92.8,92.8,96.4,99.5
"Algeciras",97.5,97.7,97.5,93.4,93.6,93.6,89.6,99.6
"Altamira",95.6,96.8,95.6,83.1,95,95,96.6,100
"Baraya",94.8,97,94.8,91.3,98,98,91,99.7
"Campoalegre",95.9,96.1,95.9,89.5,98.3,98.3,92.6,99.9
"Colombia",96.6,97.2,96.6,90.5,96,96,98.9,100
"Elias",97,96.6,97,94.9,100,100,97.4,100
"Garzón",96.4,98.1,96.4,90,97.2,97.2,93.9,100
"Gigante",95,97.3,95,95.4,98.1,98.1,98.1,100
"Guadalupe",97.4,96.2,97.4,94.8,96.5,96.5,96.8,100
"Hobo",92.2,95.8,92.2,94,90.6,90.6,100,100
"Iquira",95.8,96.1,95.8,87.6,94,94,94.5,100
"Isnos",98.2,98.4,98.2,93.3,99,99,99.2,99.8
"La Argentina",96.4,97.4,96.4,90.7,92.6,92.6,99.1,100
"La Plata",97.1,98.1,97.1,94.4,97,97,97.6,99.9
"Neiva",,0,,,87.7,87.7,,99.7
"Nátaga",97.5,96.1,97.5,92.8,98.3,98.3,92.9,100
"Oporapa",97.1,97.8,97.1,96.1,97.6,97.6,94,100
"Paicol",89.9,93.2,89.9,88.5,87.8,87.8,100,99.9
"Palermo",95,95.5,95,87.5,91.5,91.5,94.7,99.4
"Palestina",99.5,99.4,99.5,99.7,100,100,95.9,100
"Pital",98,98.2,98,90.2,98,98,100,100
"Pitalito",94.7,97.1,94.7,94.7,89.7,89.7,,83.8
"Rivera",95.4,96.5,95.4,90.3,95.8,95.8,99.4,100
"Saladoblanco",94.5,95.8,94.5,94.6,100,100,92.7,100
"San Agustín",97.8,96.7,97.8,96.4,98.8,98.8,99.5,99.9
"Santa Maria",98.2,98.3,98.2,93.5,92.8,92.8,95.5,99.8
"Suaza",96.4,94.5,96.4,94,98.2,98.2,96.7,99.9
"Tarqui",96.5,99.2,96.5,94,96.5,96.5,97.2,99.9
"Tello",96.5,97.3,96.5,91.9,96.3,96.3,96.6,99.9
"Teruel",95.7,96,95.7,90.1,89.9,89.9,94.6,100
"Tesalia",95.8,97.3,95.8,91.4,91.4,91.4,96.1,100
"Timaná",97.8,97.5,97.8,93.2,94.3,94.3,91.2,100
"Villavieja",95.6,95.1,95.6,84.3,96,96,93.7,100
"Yaguará",95.7,96.7,95.7,89.8,82.5,82.5,89.9,100
