"Municipio","Ano","Ranking"
"Acevedo","2007",28
"Agrado","2007",10
"Aipe","2007",19.5
"Algeciras","2007",30.5
"Altamira","2007",11.5
"Baraya","2007",6
"Campoalegre","2007",17
"Colombia","2007",24
"Elias","2007",25
"Garzón","2007",19.5
"Gigante","2007",7.5
"Guadalupe","2007",29
"Hobo","2007",3
"Iquira","2007",15.5
"Isnos","2007",35.5
"La Argentina","2007",19.5
"La Plata","2007",26.5
"Neiva","2007",1
"Nátaga","2007",30.5
"Oporapa","2007",26.5
"Paicol","2007",2
"Palermo","2007",7.5
"Palestina","2007",37
"Pital","2007",34
"Pitalito","2007",5
"Rivera","2007",9
"Saladoblanco","2007",4
"San Agustín","2007",32.5
"Santa Maria","2007",35.5
"Suaza","2007",19.5
"Tarqui","2007",22.5
"Tello","2007",22.5
"Teruel","2007",13.5
"Tesalia","2007",15.5
"Timaná","2007",32.5
"Villavieja","2007",11.5
"Yaguará","2007",13.5
"Acevedo","2008",12.5
"Agrado","2008",7
"Aipe","2008",4.5
"Algeciras","2008",29
"Altamira","2008",20
"Baraya","2008",21
"Campoalegre","2008",12.5
"Colombia","2008",23
"Elias","2008",17
"Garzón","2008",31.5
"Gigante","2008",25
"Guadalupe","2008",15
"Hobo","2008",8.5
"Iquira","2008",12.5
"Isnos","2008",35
"La Argentina","2008",27
"La Plata","2008",31.5
"Neiva","2008",1
"Nátaga","2008",12.5
"Oporapa","2008",30
"Paicol","2008",2
"Palermo","2008",6
"Palestina","2008",37
"Pital","2008",33
"Pitalito","2008",22
"Rivera","2008",16
"Saladoblanco","2008",8.5
"San Agustín","2008",18.5
"Santa Maria","2008",34
"Suaza","2008",3
"Tarqui","2008",36
"Tello","2008",25
"Teruel","2008",10
"Tesalia","2008",25
"Timaná","2008",28
"Villavieja","2008",4.5
"Yaguará","2008",18.5
"Acevedo","2009",28
"Agrado","2009",10
"Aipe","2009",19.5
"Algeciras","2009",30.5
"Altamira","2009",11.5
"Baraya","2009",6
"Campoalegre","2009",17
"Colombia","2009",24
"Elias","2009",25
"Garzón","2009",19.5
"Gigante","2009",7.5
"Guadalupe","2009",29
"Hobo","2009",3
"Iquira","2009",15.5
"Isnos","2009",35.5
"La Argentina","2009",19.5
"La Plata","2009",26.5
"Neiva","2009",1
"Nátaga","2009",30.5
"Oporapa","2009",26.5
"Paicol","2009",2
"Palermo","2009",7.5
"Palestina","2009",37
"Pital","2009",34
"Pitalito","2009",5
"Rivera","2009",9
"Saladoblanco","2009",4
"San Agustín","2009",32.5
"Santa Maria","2009",35.5
"Suaza","2009",19.5
"Tarqui","2009",22.5
"Tello","2009",22.5
"Teruel","2009",13.5
"Tesalia","2009",15.5
"Timaná","2009",32.5
"Villavieja","2009",11.5
"Yaguará","2009",13.5
"Acevedo","2010",36
"Agrado","2010",7
"Aipe","2010",8
"Algeciras","2010",23
"Altamira","2010",2
"Baraya","2010",17
"Campoalegre","2010",9
"Colombia","2010",15
"Elias","2010",32
"Garzón","2010",11
"Gigante","2010",33
"Guadalupe","2010",31
"Hobo","2010",26
"Iquira","2010",5
"Isnos","2010",22
"La Argentina","2010",16
"La Plata","2010",28
"Neiva","2010",1
"Nátaga","2010",20
"Oporapa","2010",34
"Paicol","2010",6
"Palermo","2010",4
"Palestina","2010",37
"Pital","2010",13
"Pitalito","2010",30
"Rivera","2010",14
"Saladoblanco","2010",29
"San Agustín","2010",35
"Santa Maria","2010",24
"Suaza","2010",26
"Tarqui","2010",26
"Tello","2010",19
"Teruel","2010",12
"Tesalia","2010",18
"Timaná","2010",21
"Villavieja","2010",3
"Yaguará","2010",10
"Acevedo","2011",28.5
"Agrado","2011",33.5
"Aipe","2011",10.5
"Algeciras","2011",12
"Altamira","2011",15
"Baraya","2011",25.5
"Campoalegre","2011",30.5
"Colombia","2011",17.5
"Elias","2011",36
"Garzón","2011",23
"Gigante","2011",27
"Guadalupe","2011",20.5
"Hobo","2011",6
"Iquira","2011",13
"Isnos","2011",33.5
"La Argentina","2011",9
"La Plata","2011",22
"Neiva","2011",2
"Nátaga","2011",30.5
"Oporapa","2011",24
"Paicol","2011",3
"Palermo","2011",8
"Palestina","2011",36
"Pital","2011",25.5
"Pitalito","2011",4
"Rivera","2011",16
"Saladoblanco","2011",36
"San Agustín","2011",32
"Santa Maria","2011",10.5
"Suaza","2011",28.5
"Tarqui","2011",20.5
"Tello","2011",19
"Teruel","2011",5
"Tesalia","2011",7
"Timaná","2011",14
"Villavieja","2011",17.5
"Yaguará","2011",1
"Acevedo","2012",28.5
"Agrado","2012",33.5
"Aipe","2012",10.5
"Algeciras","2012",12
"Altamira","2012",15
"Baraya","2012",25.5
"Campoalegre","2012",30.5
"Colombia","2012",17.5
"Elias","2012",36
"Garzón","2012",23
"Gigante","2012",27
"Guadalupe","2012",20.5
"Hobo","2012",6
"Iquira","2012",13
"Isnos","2012",33.5
"La Argentina","2012",9
"La Plata","2012",22
"Neiva","2012",2
"Nátaga","2012",30.5
"Oporapa","2012",24
"Paicol","2012",3
"Palermo","2012",8
"Palestina","2012",36
"Pital","2012",25.5
"Pitalito","2012",4
"Rivera","2012",16
"Saladoblanco","2012",36
"San Agustín","2012",32
"Santa Maria","2012",10.5
"Suaza","2012",28.5
"Tarqui","2012",20.5
"Tello","2012",19
"Teruel","2012",5
"Tesalia","2012",7
"Timaná","2012",14
"Villavieja","2012",17.5
"Yaguará","2012",1
"Acevedo","2013",35.5
"Agrado","2013",33
"Aipe","2013",19
"Algeciras","2013",3
"Altamira","2013",20.5
"Baraya","2013",5
"Campoalegre","2013",7
"Colombia","2013",28
"Elias","2013",25
"Garzón","2013",11
"Gigante","2013",27
"Guadalupe","2013",23
"Hobo","2013",35.5
"Iquira","2013",13
"Isnos","2013",30
"La Argentina","2013",29
"La Plata","2013",26
"Neiva","2013",1.5
"Nátaga","2013",9
"Oporapa","2013",12
"Paicol","2013",35.5
"Palermo","2013",15
"Palestina","2013",17
"Pital","2013",35.5
"Pitalito","2013",1.5
"Rivera","2013",31
"Saladoblanco","2013",8
"San Agustín","2013",32
"Santa Maria","2013",16
"Suaza","2013",22
"Tarqui","2013",24
"Tello","2013",20.5
"Teruel","2013",14
"Tesalia","2013",18
"Timaná","2013",6
"Villavieja","2013",10
"Yaguará","2013",4
"Acevedo","2014",26.5
"Agrado","2014",26.5
"Aipe","2014",3
"Algeciras","2014",4
"Altamira","2014",26.5
"Baraya","2014",5.5
"Campoalegre","2014",12
"Colombia","2014",26.5
"Elias","2014",26.5
"Garzón","2014",26.5
"Gigante","2014",26.5
"Guadalupe","2014",26.5
"Hobo","2014",26.5
"Iquira","2014",26.5
"Isnos","2014",7.5
"La Argentina","2014",26.5
"La Plata","2014",12
"Neiva","2014",5.5
"Nátaga","2014",26.5
"Oporapa","2014",26.5
"Paicol","2014",12
"Palermo","2014",2
"Palestina","2014",26.5
"Pital","2014",26.5
