"Ano","Municipio","Categoria","Numero"
2016,"Acevedo","Rector",9
2016,"Agrado","Rector",3
2016,"Aipe","Rector",4
2016,"Algeciras","Rector",6
2016,"Altamira","Rector",1
2016,"Baraya","Rector",3
2016,"Campoalegre","Rector",5
2016,"Colombia","Rector",5
2016,"Elias","Rector",1
2016,"Garzón","Rector",13
2016,"Gigante","Rector",7
2016,"Guadalupe","Rector",3
2016,"Hobo","Rector",1
2016,"Iquira","Rector",4
2016,"Isnos","Rector",7
2016,"La Argentina","Rector",5
2016,"La Plata","Rector",18
2016,"Nátaga","Rector",4
2016,"Neiva","Rector",37
2016,"Oporapa","Rector",3
2016,"Paicol","Rector",1
2016,"Palermo","Rector",7
2016,"Palestina","Rector",5
2016,"Pital","Rector",5
2016,"Pitalito","Rector",16
2016,"Rivera","Rector",4
2016,"Saladoblanco","Rector",2
2016,"San Agustín","Rector",9
2016,"Santa Maria","Rector",4
2016,"Suaza","Rector",7
2016,"Tarqui","Rector",6
2016,"Tello","Rector",4
2016,"Teruel","Rector",3
2016,"Tesalia","Rector",4
2016,"Timaná","Rector",6
2016,"Villavieja","Rector",3
2016,"Yaguará","Rector",1
2016,"Acevedo","Director rural",
2016,"Agrado","Director rural",
2016,"Aipe","Director rural",1
2016,"Algeciras","Director rural",
2016,"Altamira","Director rural",
2016,"Baraya","Director rural",1
2016,"Campoalegre","Director rural",1
2016,"Colombia","Director rural",
2016,"Elias","Director rural",
2016,"Garzón","Director rural",1
2016,"Gigante","Director rural",
2016,"Guadalupe","Director rural",
2016,"Hobo","Director rural",
2016,"Iquira","Director rural",
2016,"Isnos","Director rural",
2016,"La Argentina","Director rural",1
2016,"La Plata","Director rural",
2016,"Nátaga","Director rural",
2016,"Neiva","Director rural",1
2016,"Oporapa","Director rural",
2016,"Paicol","Director rural",
2016,"Palermo","Director rural",
2016,"Palestina","Director rural",
2016,"Pital","Director rural",1
2016,"Pitalito","Director rural",
2016,"Rivera","Director rural",
2016,"Saladoblanco","Director rural",
2016,"San Agustín","Director rural",
2016,"Santa Maria","Director rural",
2016,"Suaza","Director rural",
2016,"Tarqui","Director rural",
2016,"Tello","Director rural",
2016,"Teruel","Director rural",
2016,"Tesalia","Director rural",
2016,"Timaná","Director rural",
2016,"Villavieja","Director rural",1
2016,"Yaguará","Director rural",
2016,"Acevedo","Director de Núcleo",1
2016,"Agrado","Director de Núcleo",
2016,"Aipe","Director de Núcleo",1
2016,"Algeciras","Director de Núcleo",
2016,"Altamira","Director de Núcleo",
2016,"Baraya","Director de Núcleo",1
