"Categoria","2003","2004","2006","2007","2008","2009","2011","2012","2013","2014","2016"
"Coordinador",342,343,343,344,340,195,304,207,207,337,347
"Director de Núcleo",0,0,0,0,0,0,0,0,0,0,16
"Director rural",0,0,0,0,0,0,17,14,13,11,8
"Directores",0,0,0,86,0,46,22,0,0,0,0
"Docente apoyo",0,0,0,0,0,0,0,6,6,7,25
"Docente aula",0,0,0,0,0,0,0,5714,5717,8826,8865
"Docentes",7924,7878,7878,7931,7921,4870,7823,0,0,0,0
"Orientador",0,0,0,0,0,0,75,6182,67,104,118
"Rector",254,246,246,204,248,203,209,174,174,226,226
"Supervisores",0,0,0,0,0,0,2,0,0,0,0
