"Municipio","2011","2012","2013","2014","2016"
"Acevedo",3,303,3,3,3
"Agrado",1,95,1,1,1
"Aipe",1,170,1,1,1
"Algeciras",3,219,3,3,3
"Altamira",1,37,1,1,1
"Baraya",1,90,1,1,1
"Campoalegre",3,280,3,3,3
"Colombia",0,97,0,0,0
"Elias",1,42,1,1,1
"Garzón",8,623,8,8,8
"Gigante",5,299,5,5,5
"Guadalupe",3,187,3,3,3
"Hobo",2,62,1,1,1
"Iquira",1,119,1,1,1
"Isnos",2,238,2,2,2
"La Argentina",2,152,2,2,2
"La Plata",11,614,7,7,7
"Neiva",0,0,0,37,37
"Nátaga",1,77,1,1,1
"Oporapa",1,110,1,1,1
"Paicol",1,66,1,1,1
"Palermo",4,257,3,3,3
"Palestina",1,113,1,1,1
"Pital",1,143,1,1,1
"Pitalito",0,0,0,0,14
"Rivera",2,190,2,2,2
"Saladoblanco",2,111,2,2,2
"San Agustín",2,311,2,2,2
"Santa Maria",1,116,1,1,1
"Suaza",1,179,1,1,1
"Tarqui",3,196,2,2,2
"Tello",2,142,2,2,2
"Teruel",1,84,1,1,1
"Tesalia",2,109,1,1,1
"Timaná",1,201,1,1,1
"Villavieja",0,80,0,0,0
"Yaguará",1,70,1,1,1
