"Ano","Universidad","Semestre","Nivel Educativo","Programa","Categoria Docentes","Genero","Numero"
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Contaduría Pública - Diurna","Docente Tiempo completo","Hombre",3
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Contaduría Pública - Diurna","Docente Medio tiempo","Hombre",1
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Contaduría Pública - Diurna","Docente Catedrático","Hombre",13
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Contaduría Pública - Diurna","Docente Tiempo completo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Contaduría Pública - Diurna","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Contaduría Pública - Diurna","Docente Catedrático","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Administración de Empresas - Diurna","Docente Tiempo completo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Administración de Empresas - Diurna","Docente Medio tiempo","Hombre",1
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Administración de Empresas - Diurna","Docente Catedrático","Hombre",13
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Administración de Empresas - Diurna","Docente Tiempo completo","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Administración de Empresas - Diurna","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Administración de Empresas - Diurna","Docente Catedrático","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Derecho  Diurna- Neiva","Docente Tiempo completo","Hombre",16
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Derecho  Diurna- Neiva","Docente Medio tiempo","Hombre",9
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Derecho  Diurna- Neiva","Docente Catedrático","Hombre",28
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Derecho  Diurna- Neiva","Docente Tiempo completo","Mujer",4
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Derecho  Diurna- Neiva","Docente Medio tiempo","Mujer",2
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Derecho  Diurna- Neiva","Docente Catedrático","Mujer",5
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería Industrial","Docente Tiempo completo","Hombre",14
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería Industrial","Docente Medio tiempo","Hombre",3
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería Industrial","Docente Catedrático","Hombre",26
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería Industrial","Docente Tiempo completo","Mujer",4
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería Industrial","Docente Medio tiempo","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería Industrial","Docente Catedrático","Mujer",4
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería Civil","Docente Tiempo completo","Hombre",3
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería Civil","Docente Medio tiempo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería Civil","Docente Catedrático","Hombre",26
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería Civil","Docente Tiempo completo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería Civil","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería Civil","Docente Catedrático","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Psicología - Neiva","Docente Tiempo completo","Hombre",3
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Psicología - Neiva","Docente Medio tiempo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Psicología - Neiva","Docente Catedrático","Hombre",5
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Psicología - Neiva","Docente Tiempo completo","Mujer",4
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Psicología - Neiva","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Psicología - Neiva","Docente Catedrático","Mujer",9
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería de Sistemas","Docente Tiempo completo","Hombre",3
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería de Sistemas","Docente Medio tiempo","Hombre",3
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería de Sistemas","Docente Catedrático","Hombre",7
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería de Sistemas","Docente Tiempo completo","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería de Sistemas","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Ingeniería de Sistemas","Docente Catedrático","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Técnico en Fútbol","Docente Tiempo completo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Técnico en Fútbol","Docente Medio tiempo","Hombre",1
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Técnico en Fútbol","Docente Catedrático","Hombre",4
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Técnico en Fútbol","Docente Tiempo completo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Técnico en Fútbol","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Técnico en Fútbol","Docente Catedrático","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Bienestar Universitario","Docente Tiempo completo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Bienestar Universitario","Docente Medio tiempo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Bienestar Universitario","Docente Catedrático","Hombre",9
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Bienestar Universitario","Docente Tiempo completo","Mujer",9
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Bienestar Universitario","Docente Medio tiempo","Mujer",9
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Bienestar Universitario","Docente Catedrático","Mujer",2
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Departamento de idiomas","Docente Tiempo completo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Departamento de idiomas","Docente Medio tiempo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Departamento de idiomas","Docente Catedrático","Hombre",3
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Departamento de idiomas","Docente Tiempo completo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Departamento de idiomas","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Pregrado","Departamento de idiomas","Docente Catedrático","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre A","Postgrado","Especialización Gerencia de la Calidad y Auditoría en Salud ","Docente Tiempo completo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Postgrado","Especialización Gerencia de la Calidad y Auditoría en Salud ","Docente Medio tiempo","Hombre",1
2014,"Universidad Cooperativa de Colombia","Semestre A","Postgrado","Especialización Gerencia de la Calidad y Auditoría en Salud ","Docente Catedrático","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Postgrado","Especialización Gerencia de la Calidad y Auditoría en Salud ","Docente Tiempo completo","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre A","Postgrado","Especialización Gerencia de la Calidad y Auditoría en Salud ","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Postgrado","Especialización Gerencia de la Calidad y Auditoría en Salud ","Docente Catedrático","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Postgrado","Especialización Gerencia de la Salud Ocupacional ","Docente Tiempo completo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Postgrado","Especialización Gerencia de la Salud Ocupacional ","Docente Medio tiempo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Postgrado","Especialización Gerencia de la Salud Ocupacional ","Docente Catedrático","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre A","Postgrado","Especialización Gerencia de la Salud Ocupacional ","Docente Tiempo completo","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre A","Postgrado","Especialización Gerencia de la Salud Ocupacional ","Docente Medio tiempo","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre A","Postgrado","Especialización Gerencia de la Salud Ocupacional ","Docente Catedrático","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Contaduría Pública - Diurna","Docente Tiempo completo","Hombre",3
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Contaduría Pública - Diurna","Docente Medio tiempo","Hombre",1
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Contaduría Pública - Diurna","Docente Catedrático","Hombre",12
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Contaduría Pública - Diurna","Docente Tiempo completo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Contaduría Pública - Diurna","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Contaduría Pública - Diurna","Docente Catedrático","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Administración de Empresas - Diurna","Docente Tiempo completo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Administración de Empresas - Diurna","Docente Medio tiempo","Hombre",1
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Administración de Empresas - Diurna","Docente Catedrático","Hombre",3
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Administración de Empresas - Diurna","Docente Tiempo completo","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Administración de Empresas - Diurna","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Administración de Empresas - Diurna","Docente Catedrático","Mujer",2
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Derecho  Diurna- Neiva","Docente Tiempo completo","Hombre",15
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Derecho  Diurna- Neiva","Docente Medio tiempo","Hombre",9
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Derecho  Diurna- Neiva","Docente Catedrático","Hombre",29
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Derecho  Diurna- Neiva","Docente Tiempo completo","Mujer",4
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Derecho  Diurna- Neiva","Docente Medio tiempo","Mujer",2
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Derecho  Diurna- Neiva","Docente Catedrático","Mujer",6
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Industrial","Docente Tiempo completo","Hombre",14
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Industrial","Docente Medio tiempo","Hombre",2
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Industrial","Docente Catedrático","Hombre",26
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Industrial","Docente Tiempo completo","Mujer",3
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Industrial","Docente Medio tiempo","Mujer",1
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Industrial","Docente Catedrático","Mujer",3
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Civil","Docente Tiempo completo","Hombre",4
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Civil","Docente Medio tiempo","Hombre",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Civil","Docente Catedrático","Hombre",7
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Civil","Docente Tiempo completo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Civil","Docente Medio tiempo","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Ingeniería Civil","Docente Catedrático","Mujer",0
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Psicología - Neiva","Docente Tiempo completo","Hombre",3
2014,"Universidad Cooperativa de Colombia","Semestre B","Pregrado","Psicología - Neiva","Docente Medio tiempo","Hombre",0
