"Ano","Linea Credito","Estado Credito","Numero Creditos","Valor Credito","Promedio Crédito"
2014,"Acces","Creditos Nuevos",878,2049898181,2334735.96924829
2014,"Alianza","Creditos Nuevos",46,78611975,1708955.97826087
2014,"Ceres","Creditos Nuevos",46,59119030,1285196.30434783
2014,"Curso Oficial","Creditos Nuevos",16,90484228,5655264.25
2014,"Curso Suboficial","Creditos Nuevos",28,141694724,5060525.85714286
2014,"Exterior US$16000-20/80","Creditos Nuevos",7,92000720,13142960
2014,"Exterior US$8000-20/80","Creditos Nuevos",28,134910857,4818244.89285714
2014,"Exterior Perfeccionamiento en Idiomas 20/80","Creditos Nuevos",14,218056080,15575434.2857143
2014,"Lp – Ándres Bello","Creditos Nuevos",0,0,
2014,"Lp – Mejor Bachilleres","Creditos Nuevos",0,0,
2014,"Maestrias","Creditos Nuevos",22,80518800,3659945.45454545
2014,"Mi PC","Creditos Nuevos",28,40512000,1446857.14285714
2014,"Pasantias intercambio 20/80","Creditos Nuevos",1,16171920,16171920
2014,"Postgrado pais con Deudor","Creditos Nuevos",100,559744244,5597442.44
2014,"Postgrado pais sin Deudor","Creditos Nuevos",0,0,
2014,"Pregrado Mp","Creditos Nuevos",184,478253557,2599204.11413043
2014,"Lp – Limitaciones","Creditos Nuevos",0,0,
2014,"Pais Mejores ECAES con Deudor","Creditos Nuevos",0,0,
2014,"Licenciaturas Condonables","Creditos Nuevos",2,7776686,3888343
2014,"Lp – Reservistas","Creditos Nuevos",0,0,
2014,"Acces","Creditos Renovados",3268,8111327878,2482046.47429621
2014,"Alianza","Creditos Renovados",743,1612718548,2170549.86271871
2014,"Ceres","Creditos Renovados",528,748834387,1418246.94507576
2014,"Curso Oficial","Creditos Renovados",61,285823760,4685635.40983607
2014,"Curso Suboficial","Creditos Renovados",24,60508846,2521201.91666667
2014,"Exterior US$16000-20/80","Creditos Renovados",10,110398080,11039808
2014,"Exterior US$8000-20/80","Creditos Renovados",0,0,
2014,"Exterior Perfeccionamiento en Idiomas 20/80","Creditos Renovados",0,0,
2014,"Lp – Ándres Bello","Creditos Renovados",2,3227864,1613932
2014,"Lp – Mejor Bachilleres","Creditos Renovados",3,7782432,2594144
2014,"Maestrias","Creditos Renovados",60,205602914,3426715.23333333
2014,"Mi PC","Creditos Renovados",0,0,
2014,"Pasantias intercambio 20/80","Creditos Renovados",0,0,
2014,"Postgrado pais con Deudor","Creditos Renovados",163,1051943258,6453639.6196319
2014,"Postgrado pais sin Deudor","Creditos Renovados",31,214012950,6903643.5483871
2014,"Pregrado Mp","Creditos Renovados",772,2124667375,2752159.81217617
2014,"Lp – Limitaciones","Creditos Renovados",2,2482200,1241100
2014,"Pais Mejores ECAES con Deudor","Creditos Renovados",0,0,
2014,"Licenciaturas Condonables","Creditos Renovados",8,16514288,2064286
2014,"Lp – Reservistas","Creditos Renovados",0,0,
2013,"Acces","Creditos Nuevos",582,1341611475,2305174.3556701
2013,"Alianza","Creditos Nuevos",198,357456018,1805333.42424242
2013,"Ceres","Creditos Nuevos",121,144695824,1195833.25619835
2013,"Curso Oficial","Creditos Nuevos",18,117856452,6547580.66666667
2013,"Curso Suboficial","Creditos Nuevos",29,146992560,5068708.96551724
2013,"Exterior US$16000-20/80","Creditos Nuevos",10,119636240,11963624
2013,"Exterior US$8000-20/80","Creditos Nuevos",23,138566408,6024626.43478261
2013,"Exterior Perfeccionamiento en Idiomas 20/80","Creditos Nuevos",11,145606770,13236979.0909091
2013,"Lp – Ándres Bello","Creditos Nuevos",0,0,
2013,"Lp – Mejor Bachilleres","Creditos Nuevos",1,873000,873000
2013,"Maestrias","Creditos Nuevos",33,111909040,3391183.03030303
2013,"Mi PC","Creditos Nuevos",20,29600000,1480000
2013,"Pasantias intercambio 20/80","Creditos Nuevos",4,45967225,11491806.25
2013,"Postgrado pais con Deudor","Creditos Nuevos",95,609650454,6417373.2
2013,"Postgrado pais sin Deudor","Creditos Nuevos",28,184793242,6599758.64285714
2013,"Pregrado Mp","Creditos Nuevos",190,479368412,2522991.64210526
2013,"Lp – Limitaciones","Creditos Nuevos",0,0,
2013,"Pais Mejores ECAES con Deudor","Creditos Nuevos",0,0,
2013,"Licenciaturas Condonables","Creditos Nuevos",3,2555804,851934.666666667
2013,"Lp – Reservistas","Creditos Nuevos",1,2947500,2947500
2013,"Acces","Creditos Renovados",3027,6883301735,2273968.1978857
2013,"Alianza","Creditos Renovados",886,1790339282,2020698.96388262
2013,"Ceres","Creditos Renovados",489,614618046,1256887.6196319
2013,"Curso Oficial","Creditos Renovados",48,184176511,3837010.64583333
2013,"Curso Suboficial","Creditos Renovados",19,33734400,1775494.73684211
2013,"Exterior US$16000-20/80","Creditos Renovados",8,73282560,9160320
2013,"Exterior US$8000-20/80","Creditos Renovados",0,0,
2013,"Exterior Perfeccionamiento en Idiomas 20/80","Creditos Renovados",0,0,
2013,"Lp – Ándres Bello","Creditos Renovados",2,2385444,1192722
2013,"Lp – Mejor Bachilleres","Creditos Renovados",2,3900000,1950000
2013,"Maestrias","Creditos Renovados",53,184691252,3484740.60377359
2013,"Mi PC","Creditos Renovados",0,0,
2013,"Pasantias intercambio 20/80","Creditos Renovados",0,0,
2013,"Postgrado pais con Deudor","Creditos Renovados",97,678378669,6993594.5257732
2013,"Postgrado pais sin Deudor","Creditos Renovados",68,388547875,5713939.33823529
2013,"Pregrado Mp","Creditos Renovados",779,1996298980,2562643.10654686
2013,"Lp – Limitaciones","Creditos Renovados",4,5153510,1288377.5
2013,"Pais Mejores ECAES con Deudor","Creditos Renovados",0,0,
2013,"Licenciaturas Condonables","Creditos Renovados",4,3940932,985233
2013,"Lp – Reservistas","Creditos Renovados",0,0,
2012,"Acces","Creditos Nuevos",825,1651243955,2001507.82424242
2012,"Alianza","Creditos Nuevos",68,111415778,1638467.32352941
2012,"Ceres","Creditos Nuevos",171,209496899,1225128.06432749
2012,"Curso Oficial","Creditos Nuevos",13,77764989,5981922.23076923
2012,"Curso Suboficial","Creditos Nuevos",25,126579936,5063197.44
2012,"Exterior US$16000-20/80","Creditos Nuevos",9,129036000,14337333.3333333
2012,"Exterior US$8000-20/80","Creditos Nuevos",7,99762872,14251838.8571429
2012,"Exterior Perfeccionamiento en Idiomas 20/80","Creditos Nuevos",8,115154880,14394360
2012,"Lp – Ándres Bello","Creditos Nuevos",0,0,
2012,"Lp – Mejor Bachilleres","Creditos Nuevos",0,0,
2012,"Maestrias","Creditos Nuevos",17,69211952,4071291.29411765
2012,"Mi PC","Creditos Nuevos",24,41771868,1740494.5
2012,"Pasantias intercambio 20/80","Creditos Nuevos",0,0,
2012,"Postgrado pais con Deudor","Creditos Nuevos",61,342752889,5618899.81967213
2012,"Postgrado pais sin Deudor","Creditos Nuevos",54,319753933,5921369.12962963
2012,"Pregrado Mp","Creditos Nuevos",198,457106922,2308620.81818182
2012,"Lp – Limitaciones","Creditos Nuevos",0,0,
2012,"Pais Mejores ECAES con Deudor","Creditos Nuevos",0,0,
2012,"Licenciaturas Condonables","Creditos Nuevos",0,0,
2012,"Lp – Reservistas","Creditos Nuevos",0,0,
2012,"Acces","Creditos Renovados",1533,2988694997,1949572.73124592
2012,"Alianza","Creditos Renovados",530,911909703,1720584.34528302
2012,"Ceres","Creditos Renovados",197,182229912,925024.934010152
2012,"Curso Oficial","Creditos Renovados",14,50106654,3579046.71428571
2012,"Curso Suboficial","Creditos Renovados",6,8970800,1495133.33333333
2012,"Exterior US$16000-20/80","Creditos Renovados",8,113566600,14195825
2012,"Exterior US$8000-20/80","Creditos Renovados",0,0,
2012,"Exterior Perfeccionamiento en Idiomas 20/80","Creditos Renovados",0,0,
2012,"Lp – Ándres Bello","Creditos Renovados",1,882000,882000
2012,"Lp – Mejor Bachilleres","Creditos Renovados",1,1797000,1797000
2012,"Maestrias","Creditos Renovados",17,70275134,4133831.41176471
2012,"Mi PC","Creditos Renovados",3,4129700,1376566.66666667
2012,"Pasantias intercambio 20/80","Creditos Renovados",0,0,
2012,"Postgrado pais con Deudor","Creditos Renovados",53,324750837,6127374.28301887
2012,"Postgrado pais sin Deudor","Creditos Renovados",37,162789747,4399722.89189189
2012,"Pregrado Mp","Creditos Renovados",397,854844120,2153259.74811083
2012,"Lp – Limitaciones","Creditos Renovados",5,5809802,1161960.4
2012,"Pais Mejores ECAES con Deudor","Creditos Renovados",0,0,
2012,"Licenciaturas Condonables","Creditos Renovados",0,0,
2012,"Lp – Reservistas","Creditos Renovados",0,0,
2011,"Acces","Creditos Nuevos",713,1388521022,1947434.81346424
2011,"Alianza","Creditos Nuevos",126,216363011,1717166.75396825
2011,"Ceres","Creditos Nuevos",161,171881480,1067586.83229814
2011,"Curso Oficial","Creditos Nuevos",8,38618285,4827285.625
2011,"Curso Suboficial","Creditos Nuevos",14,69309982,4950713
2011,"Exterior US$16000-20/80","Creditos Nuevos",7,106364080,15194868.5714286
2011,"Exterior US$8000-20/80","Creditos Nuevos",12,167790676,13982556.3333333
2011,"Exterior Perfeccionamiento en Idiomas 20/80","Creditos Nuevos",6,77845006,12974167.6666667
2011,"Lp – Ándres Bello","Creditos Nuevos",1,923200,923200
2011,"Lp – Mejor Bachilleres","Creditos Nuevos",1,1661400,1661400
2011,"Maestrias","Creditos Nuevos",16,61651964,3853247.75
2011,"Mi PC","Creditos Nuevos",51,75553100,1481433.33333333
2011,"Pasantias intercambio 20/80","Creditos Nuevos",2,28577040,14288520
2011,"Postgrado pais con Deudor","Creditos Nuevos",66,379085647,5743721.92424242
2011,"Postgrado pais sin Deudor","Creditos Nuevos",73,317094519,4343760.53424658
2011,"Pregrado Mp","Creditos Nuevos",214,495128974,2313686.79439252
2011,"Lp – Limitaciones","Creditos Nuevos",0,0,
2011,"Pais Mejores ECAES con Deudor","Creditos Nuevos",0,0,
2011,"Acces","Creditos Renovados",1556,2761641086,1774833.60282776
2011,"Alianza","Creditos Renovados",592,897146897,1515450.83952703
2011,"Ceres","Creditos Renovados",220,219034962,995613.463636364
2011,"Curso Oficial","Creditos Renovados",1,2952000,2952000
2011,"Curso Suboficial","Creditos Renovados",3,9927080,3309026.66666667
2011,"Exterior US$16000-20/80","Creditos Renovados",0,0,
2011,"Exterior US$8000-20/80","Creditos Renovados",0,0,
2011,"Exterior Perfeccionamiento en Idiomas 20/80","Creditos Renovados",0,0,
2011,"Lp – Ándres Bello","Creditos Renovados",1,1020000,1020000
2011,"Lp – Mejor Bachilleres","Creditos Renovados",1,1719600,1719600
2011,"Maestrias","Creditos Renovados",17,51631496,3037146.82352941
2011,"Mi PC","Creditos Renovados",0,0,
2011,"Pasantias intercambio 20/80","Creditos Renovados",0,0,
2011,"Postgrado pais con Deudor","Creditos Renovados",58,299201865,5158652.84482759
2011,"Postgrado pais sin Deudor","Creditos Renovados",32,133163210,4161350.3125
2011,"Pregrado Mp","Creditos Renovados",308,715423597,2322803.88636364
2011,"Lp – Limitaciones","Creditos Renovados",6,7581614,1263602.33333333
2011,"Pais Mejores ECAES con Deudor","Creditos Renovados",2,8127000,4063500
