"Ano","Linea Credito","V1"
2014,"Pasantias intercambio 20/80",16171920
2014,"Exterior Perfeccionamiento en Idiomas 20/80",15575434.2857143
2011,"Exterior US$16000-20/80",15194868.5714286
2012,"Exterior Perfeccionamiento en Idiomas 20/80",14394360
2011,"Pasantias intercambio 20/80",14288520
2012,"Exterior US$16000-20/80",14270741.1764706
2012,"Exterior US$8000-20/80",14251838.8571429
2011,"Exterior US$8000-20/80",13982556.3333333
2013,"Exterior Perfeccionamiento en Idiomas 20/80",13236979.0909091
2011,"Exterior Perfeccionamiento en Idiomas 20/80",12974167.6666667
2014,"Exterior US$16000-20/80",11905811.7647059
2013,"Pasantias intercambio 20/80",11491806.25
2013,"Exterior US$16000-20/80",10717711.1111111
2014,"Postgrado pais sin Deudor",6903643.5483871
2013,"Postgrado pais con Deudor",6708485.015625
2014,"Postgrado pais con Deudor",6128089.36121673
2013,"Exterior US$8000-20/80",6024626.43478261
2013,"Postgrado pais sin Deudor",5972303.30208333
2012,"Postgrado pais con Deudor",5855295.84210526
2011,"Postgrado pais con Deudor",5470060.58064516
2012,"Postgrado pais sin Deudor",5302677.8021978
2014,"Curso Oficial",4887116.72727273
2014,"Exterior US$8000-20/80",4818244.89285714
2012,"Curso Oficial",4735986.77777778
2011,"Curso Suboficial",4661003.64705882
2011,"Curso Oficial",4618920.55555556
2013,"Curso Oficial",4576257.01515152
2012,"Curso Suboficial",4372604.38709677
2011,"Postgrado pais sin Deudor",4288168.84761905
2012,"Maestrias",4102561.35294118
2011,"Pais Mejores ECAES con Deudor",4063500
2014,"Curso Suboficial",3888530.19230769
2013,"Curso Suboficial",3765145
2014,"Maestrias",3489289.19512195
2013,"Maestrias",3448840.60465116
2011,"Maestrias",3432832.12121212
2013,"Lp – Reservistas",2947500
2014,"Pregrado Mp",2722720.64016736
2014,"Lp – Mejor Bachilleres",2594144
2013,"Pregrado Mp",2554868.30959752
2014,"Acces",2450850.47250362
2014,"Licenciaturas Condonables",2429097.4
2011,"Pregrado Mp",2319066.22796935
2013,"Acces",2279000.61235799
2012,"Pregrado Mp",2204959.73445378
2014,"Alianza",2143638.17870722
2013,"Alianza",1981360.97785978
2012,"Acces",1967743.40627651
2011,"Acces",1829071.00396651
2012,"Lp – Mejor Bachilleres",1797000
2012,"Alianza",1711246.62374582
2012,"Mi PC",1700058.07407407
2011,"Lp – Mejor Bachilleres",1690500
2014,"Lp – Ándres Bello",1613932
2013,"Lp – Mejor Bachilleres",1591000
2011,"Alianza",1550849.454039
2011,"Mi PC",1481433.33333333
2013,"Mi PC",1480000
2014,"Mi PC",1446857.14285714
2014,"Ceres",1407584.35017422
2013,"Lp – Limitaciones",1288377.5
2011,"Lp – Limitaciones",1263602.33333333
2013,"Ceres",1244776.83606557
2014,"Lp – Limitaciones",1241100
2013,"Lp – Ándres Bello",1192722
2012,"Lp – Limitaciones",1161960.4
2012,"Ceres",1064475.0298913
2011,"Ceres",1026027.40682415
2011,"Lp – Ándres Bello",971600
2013,"Licenciaturas Condonables",928105.142857143
2012,"Lp – Ándres Bello",882000
2012,"Licenciaturas Condonables",
2012,"Lp – Reservistas",
2012,"Pais Mejores ECAES con Deudor",
2012,"Pasantias intercambio 20/80",
2013,"Pais Mejores ECAES con Deudor",
2014,"Lp – Reservistas",
2014,"Pais Mejores ECAES con Deudor",
