"Ano","Alcance","Semestre","Materia","Puntaje Prom","Desv. Est"
2011,"Nacional",,"Matemáticas",44.7913476738,9.79861729
2011,"Nacional",,"Química",44.2496618594,6.8928640104
2011,"Nacional",,"Física",43.701286564,8.5543387925
2011,"Nacional",,"Biología",44.4906990956,8.6416515929
2011,"Nacional",,"Filosofía",39.0278970097,10.4197824493
2011,"Nacional",,"Inglés",42.7028534181,6.6374578343
2011,"Nacional",,"Lenguaje",45.0567008881,9.2275914609
2011,"Nacional",,"Sociales",43.5823107635,8.5091338711
2012,"Nacional",,"Matemáticas",44.9217238646,9.4414060395
2012,"Nacional",,"Química",45.1151327574,5.2088911786
2012,"Nacional",,"Física",44.0127312356,6.9344027899
2012,"Nacional",,"Biología",44.6971776175,6.8039034636
2012,"Nacional",,"Filosofía",39.7781604185,7.9596171832
2012,"Nacional",,"Inglés",43.3346255053,7.3235444242
2012,"Nacional",,"Lenguaje",45.8740596021,5.9995395102
2012,"Nacional",,"Sociales",43.7773694222,7.5946136165
2013,"Nacional",,"Matemáticas",44.1390527144,8.5506349331
2013,"Nacional",,"Química",44.2247096774,6.9031738788
2013,"Nacional",,"Física",43.5232140047,9.2689826908
2013,"Nacional",,"Biología",43.9292029898,6.627411487
2013,"Nacional",,"Filosofía",39.1070401259,8.1137592447
2013,"Nacional",,"Inglés",43.9734146341,7.159104642
2013,"Nacional",,"Lenguaje",46.4600786782,6.4869535799
2013,"Nacional",,"Sociales",43.7496357199,6.7149370574
2014,"Nacional","Semestre A","Matemáticas",47.7538882421,8.1770314319
2014,"Nacional","Semestre A","Química",45.3464726426,6.7735389988
2014,"Nacional","Semestre A","Física",43.1736554133,9.7102328289
2014,"Nacional","Semestre A","Biología",44.7851105937,6.6361117579
2014,"Nacional","Semestre A","Filosofía",41.5568917346,7.4680209546
2014,"Nacional","Semestre A","Inglés",50.66887078,8.7405937136
2014,"Nacional","Semestre A","Lenguaje",48.5138300349,6.9367287544
2014,"Nacional","Semestre A","Sociales",45.0750873108,8.2317229336
2014,"Nacional","Semestre B","Matemáticas",48.8941233303,7.7808770898
2014,"Nacional","Semestre B","Inglés",49.2243005965,6.744979417
2014,"Nacional","Semestre B","Lectura crítica",48.7388347475,7.94790557
2014,"Nacional","Semestre B","Sociales",48.9576577333,8.3385028984
2014,"Nacional","Semestre B","Ciencias Naturales",49.0000924137,7.8004965135
2014,"Nacional","Semestre B","Razonamiento cuantitativo",49.0718062673,8.343439469
2014,"Nacional","Semestre B","Competencia Ciudadana",48.9658153407,8.4191598757
2011,"Departamental",,"Matemáticas",44.4893255132,10.0213489736
2011,"Departamental",,"Química",44.2588269795,6.9292961877
2011,"Departamental",,"Física",43.9209090909,8.5349853372
2011,"Departamental",,"Biología",43.7642228739,8.9071847507
2011,"Departamental",,"Filosofía",38.1641642229,10.74228739
2011,"Departamental",,"Inglés",41.3961290323,6.276568915
2011,"Departamental",,"Lenguaje",44.2009090909,9.6541642229
2011,"Departamental",,"Sociales",42.4997360704,8.4536363636
2012,"Departamental",,"Matemáticas",44.8491452991,9.4952421652
2012,"Departamental",,"Química",45.2917378917,5.2512250712
2012,"Departamental",,"Física",43.8504273504,6.8055840456
2012,"Departamental",,"Biología",44.8087179487,6.8256695157
2012,"Departamental",,"Filosofía",39.4473219373,7.7494017094
2012,"Departamental",,"Inglés",42.0932193732,6.7305698006
2012,"Departamental",,"Lenguaje",45.386951567,5.9269230769
2012,"Departamental",,"Sociales",43.909031339,7.4543589744
2013,"Departamental",,"Matemáticas",43.9977272727,8.4454848485
2013,"Departamental",,"Química",44.6496666667,7.036030303
2013,"Departamental",,"Física",43.7607575758,9.3406060606
2013,"Departamental",,"Biología",44.0377575758,6.7838787879
2013,"Departamental",,"Filosofía",38.7154242424,8.1229090909
2013,"Departamental",,"Inglés",42.9206060606,6.6924848485
2013,"Departamental",,"Lenguaje",46.3423030303,6.389969697
2013,"Departamental",,"Sociales",44.0004545455,6.8568181818
2014,"Departamental","Semestre A","Matemáticas",43.0754545455,6.9372727273
2014,"Departamental","Semestre A","Química",39.6072727273,6.1527272727
2014,"Departamental","Semestre A","Física",36.1327272727,9.0336363636
2014,"Departamental","Semestre A","Biología",40.4809090909,5.8845454545
2014,"Departamental","Semestre A","Filosofía",34.8027272727,7.6572727273
2014,"Departamental","Semestre A","Inglés",39.4818181818,6.2636363636
2014,"Departamental","Semestre A","Lenguaje",42.9763636364,7.7272727273
2014,"Departamental","Semestre A","Sociales",38.3563636364,8.1245454545
2014,"Departamental","Semestre B","Matemáticas",49.3672886297,7.7394460641
2014,"Departamental","Semestre B","Inglés",48.5942565598,6.2144606414
2014,"Departamental","Semestre B","Lectura crítica",48.5723906706,7.9055102041
2014,"Departamental","Semestre B","Sociales",48.8813994169,8.3311953353
2014,"Departamental","Semestre B","Ciencias Naturales",49.5558892128,7.7277842566
2014,"Departamental","Semestre B","Razonamiento cuantitativo",49.4137317784,8.2358892128
2014,"Departamental","Semestre B","Competencia Ciudadana",48.9553061224,8.4355976676
