"Ano","Materia","V1"
2014,"Ciencias Naturales",49.27799081325
2014,"Razonamiento cuantitativo",49.24276902285
2014,"Competencia Ciudadana",48.96056073155
2014,"Lectura crítica",48.65561270905
2014,"Matemáticas",47.2726886869
2014,"Inglés",46.992311529525
2013,"Lenguaje",46.40119085425
2014,"Lenguaje",45.74509683565
2012,"Lenguaje",45.63050558455
2014,"Sociales",45.31762702435
2012,"Química",45.20343532455
2012,"Matemáticas",44.88543458185
2012,"Biología",44.7529477831
2011,"Matemáticas",44.6403365935
2011,"Lenguaje",44.6288049895
2013,"Química",44.43718817205
2011,"Química",44.25424441945
2011,"Biología",44.12746098475
2013,"Matemáticas",44.06838999355
2013,"Biología",43.9834802828
2012,"Física",43.931579293
2013,"Sociales",43.8750451327
2012,"Sociales",43.8432003806
2011,"Física",43.81109782745
2013,"Física",43.64198579025
2013,"Inglés",43.44701034735
2011,"Sociales",43.04102341695
2012,"Inglés",42.71392243925
2014,"Biología",42.6330098423
2014,"Química",42.47687268495
2011,"Inglés",42.0494912252
2014,"Física",39.653191343
2012,"Filosofía",39.6127411779
2013,"Filosofía",38.91123218415
2011,"Filosofía",38.5960306163
2014,"Filosofía",38.17980950365
