"Ano","Municipio","Tipo Institucion","Area","Tipo Nivel Educativo","Grado","Numero Grado","Numero Matriculas"
2015,"Acevedo","Oficial","Urbana","Prescolar","Preescolar",0,101
2015,"Agrado","Oficial","Urbana","Prescolar","Preescolar",0,82
2015,"Aipe","Oficial","Urbana","Prescolar","Preescolar",0,202
2015,"Algeciras","Oficial","Urbana","Prescolar","Preescolar",0,139
2015,"Altamira","Oficial","Urbana","Prescolar","Preescolar",0,37
2015,"Baraya","Oficial","Urbana","Prescolar","Preescolar",0,54
2015,"Campoalegre","Oficial","Urbana","Prescolar","Preescolar",0,311
2015,"Colombia","Oficial","Urbana","Prescolar","Preescolar",0,48
2015,"Elias","Oficial","Urbana","Prescolar","Preescolar",0,24
2015,"Garzón","Oficial","Urbana","Prescolar","Preescolar",0,461
2015,"Gigante","Oficial","Urbana","Prescolar","Preescolar",0,114
2015,"Guadalupe","Oficial","Urbana","Prescolar","Preescolar",0,89
2015,"Hobo","Oficial","Urbana","Prescolar","Preescolar",0,103
2015,"Iquira","Oficial","Urbana","Prescolar","Preescolar",0,39
2015,"Isnos","Oficial","Urbana","Prescolar","Preescolar",0,118
2015,"La Argentina","Oficial","Urbana","Prescolar","Preescolar",0,93
2015,"La Plata","Oficial","Urbana","Prescolar","Preescolar",0,415
2015,"Nátaga","Oficial","Urbana","Prescolar","Preescolar",0,40
2015,"Neiva","Oficial","Urbana","Prescolar","Preescolar",0,3317
2015,"Oporapa","Oficial","Urbana","Prescolar","Preescolar",0,55
2015,"Paicol","Oficial","Urbana","Prescolar","Preescolar",0,44
2015,"Palermo","Oficial","Urbana","Prescolar","Preescolar",0,145
2015,"Palestina","Oficial","Urbana","Prescolar","Preescolar",0,45
2015,"Pital","Oficial","Urbana","Prescolar","Preescolar",0,69
2015,"Pitalito","Oficial","Urbana","Prescolar","Preescolar",0,1049
2015,"Rivera","Oficial","Urbana","Prescolar","Preescolar",0,146
2015,"Saladoblanco","Oficial","Urbana","Prescolar","Preescolar",0,58
2015,"San Agustín","Oficial","Urbana","Prescolar","Preescolar",0,183
2015,"Santa Maria","Oficial","Urbana","Prescolar","Preescolar",0,53
2015,"Suaza","Oficial","Urbana","Prescolar","Preescolar",0,64
2015,"Tarqui","Oficial","Urbana","Prescolar","Preescolar",0,71
2015,"Tello","Oficial","Urbana","Prescolar","Preescolar",0,58
2015,"Teruel","Oficial","Urbana","Prescolar","Preescolar",0,44
2015,"Tesalia","Oficial","Urbana","Prescolar","Preescolar",0,103
2015,"Timaná","Oficial","Urbana","Prescolar","Preescolar",0,100
2015,"Villavieja","Oficial","Urbana","Prescolar","Preescolar",0,33
2015,"Yaguará","Oficial","Urbana","Prescolar","Preescolar",0,73
2015,"Acevedo","Oficial","Rural","Prescolar","Preescolar",0,445
2015,"Agrado","Oficial","Rural","Prescolar","Preescolar",0,32
2015,"Aipe","Oficial","Rural","Prescolar","Preescolar",0,75
2015,"Algeciras","Oficial","Rural","Prescolar","Preescolar",0,221
2015,"Altamira","Oficial","Rural","Prescolar","Preescolar",0,3
2015,"Baraya","Oficial","Rural","Prescolar","Preescolar",0,45
2015,"Campoalegre","Oficial","Rural","Prescolar","Preescolar",0,74
2015,"Colombia","Oficial","Rural","Prescolar","Preescolar",0,69
2015,"Elias","Oficial","Rural","Prescolar","Preescolar",0,21
2015,"Garzón","Oficial","Rural","Prescolar","Preescolar",0,517
2015,"Gigante","Oficial","Rural","Prescolar","Preescolar",0,224
2015,"Guadalupe","Oficial","Rural","Prescolar","Preescolar",0,131
2015,"Hobo","Oficial","Rural","Prescolar","Preescolar",0,15
2015,"Iquira","Oficial","Rural","Prescolar","Preescolar",0,122
2015,"Isnos","Oficial","Rural","Prescolar","Preescolar",0,188
2015,"La Argentina","Oficial","Rural","Prescolar","Preescolar",0,121
2015,"La Plata","Oficial","Rural","Prescolar","Preescolar",0,597
2015,"Nátaga","Oficial","Rural","Prescolar","Preescolar",0,86
2015,"Neiva","Oficial","Rural","Prescolar","Preescolar",0,392
2015,"Oporapa","Oficial","Rural","Prescolar","Preescolar",0,181
2015,"Paicol","Oficial","Rural","Prescolar","Preescolar",0,46
2015,"Palermo","Oficial","Rural","Prescolar","Preescolar",0,180
2015,"Palestina","Oficial","Rural","Prescolar","Preescolar",0,186
2015,"Pital","Oficial","Rural","Prescolar","Preescolar",0,157
2015,"Pitalito","Oficial","Rural","Prescolar","Preescolar",0,854
2015,"Rivera","Oficial","Rural","Prescolar","Preescolar",0,97
2015,"Saladoblanco","Oficial","Rural","Prescolar","Preescolar",0,188
2015,"San Agustín","Oficial","Rural","Prescolar","Preescolar",0,319
2015,"Santa Maria","Oficial","Rural","Prescolar","Preescolar",0,46
2015,"Suaza","Oficial","Rural","Prescolar","Preescolar",0,260
2015,"Tarqui","Oficial","Rural","Prescolar","Preescolar",0,191
2015,"Tello","Oficial","Rural","Prescolar","Preescolar",0,132
2015,"Teruel","Oficial","Rural","Prescolar","Preescolar",0,60
2015,"Tesalia","Oficial","Rural","Prescolar","Preescolar",0,46
2015,"Timaná","Oficial","Rural","Prescolar","Preescolar",0,176
2015,"Villavieja","Oficial","Rural","Prescolar","Preescolar",0,59
2015,"Yaguará","Oficial","Rural","Prescolar","Preescolar",0,6
2015,"Acevedo","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Agrado","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Aipe","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Algeciras","No Oficial","Urbana","Prescolar","Preescolar",0,12
2015,"Altamira","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Baraya","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Campoalegre","No Oficial","Urbana","Prescolar","Preescolar",0,115
2015,"Colombia","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Elias","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Garzón","No Oficial","Urbana","Prescolar","Preescolar",0,308
