"Municipio","Básica Primaria","Básica Secundaria","Media Vocacional","Prescolar","Prescolar_p","Básica Primaria_p","Básica Secundaria_p","Media Vocacional_p"
"Acevedo",55038,17724,3290,6492,7.9,66.7,21.5,4
"Agrado",14865,8044,2417,1810,6.7,54.8,29.6,8.9
"Aipe",26093,16187,4368,4578,8.9,50.9,31.6,8.5
"Algeciras",39034,18675,4747,5455,8,57.5,27.5,7
"Altamira",5614,3660,1119,851,7.6,49.9,32.6,10
"Baraya",13761,6283,1805,1737,7.4,58.3,26.6,7.7
"Campoalegre",49397,26304,7559,7945,8.7,54.2,28.8,8.3
"Colombia",14932,5015,1076,1796,7.9,65.4,22,4.7
"Elias",5894,3540,1012,673,6.1,53,31.8,9.1
"Garzón",112051,63673,19217,18434,8.6,52.5,29.8,9
"Gigante",44789,27221,8356,5811,6.7,52,31.6,9.7
"Guadalupe",31094,13998,3049,3275,6.4,60.5,27.2,5.9
"Hobo",11714,5493,1333,1656,8.2,58,27.2,6.6
"Iquira",17242,9366,2423,2539,8,54.6,29.7,7.7
"Isnos",41435,19040,4637,3759,5.5,60.2,27.6,6.7
"La Argentina",22509,11331,2920,3686,9.1,55.7,28,7.2
"La Plata",99935,49534,14678,13915,7.8,56.1,27.8,8.2
"Neiva",445932,320290,110021,112590,11.4,45.1,32.4,11.1
"Nátaga",10609,5919,1692,1737,8.7,53.2,29.7,8.5
"Oporapa",19071,7702,2025,2794,8.8,60.4,24.4,6.4
"Paicol",9336,4984,1356,1226,7.3,55.2,29.5,8
"Palermo",39610,24064,6817,8098,10.3,50.4,30.6,8.7
"Palestina",18752,8543,1872,2384,7.6,59.4,27.1,5.9
"Pital",23935,11877,2931,2907,7,57.5,28.5,7
"Pitalito",197310,107733,30559,31205,8.5,53.8,29.4,8.3
"Rivera",32523,19868,6330,5335,8.3,50.8,31,9.9
"Saladoblanco",19322,7096,1543,3215,10.3,62,22.8,4.9
"San Agustín",52477,25955,7138,7198,7.8,56.6,28,7.7
"Santa Maria",17408,9044,2730,1556,5.1,56.6,29.4,8.9
"Suaza",30523,12912,2941,3990,7.9,60.6,25.6,5.8
"Tarqui",31158,15019,3890,5381,9.7,56.2,27.1,7
"Tello",23693,10866,2551,3390,8.4,58.5,26.8,6.3
"Teruel",12263,6583,1481,1921,8.6,55.1,29.6,6.7
"Tesalia",15436,9713,3325,2465,8,49.9,31.4,10.7
"Timaná",33679,18509,5385,4109,6.7,54.6,30,8.7
"Villavieja",10213,6093,1824,1387,7.1,52.3,31.2,9.3
"Yaguará",11193,8074,2884,1791,7.5,46.8,33.7,12
